nama_makanan,gambar,kalori,karbohidrat,protein,harga,level_harga,tipe_diet,cluster
"Puding Chia,https://m.ftscrt.com/static/recipe/d34542f9-9f42-4bb9-8434-05061c323770.jpg,76,""13,64"",4.54,8000,Murah,Normal",,,,,,,,0
"Milk Tea Chiffon,https://m.ftscrt.com/static/recipe/b72547f5-3a55-4933-9e7b-aa209f1a1e5b.jpg,138,""0,2"",15.75,10000,Normal,Keto",,,,,,,,0
"Bakso Tempe,https://m.ftscrt.com/static/recipe/781ca47e-8f3f-4cb0-823a-6af901808ea0.jpg,32,""4,02"",1.42,9000,Murah,Keto",,,,,,,,0
"Oseng Tahu,https://m.ftscrt.com/static/recipe/a3d44e24-04bd-46fd-a0d8-23d956535cd2.jpg,231,""1,6"",8.76,10000,Normal,Keto",,,,,,,,0
"Makaroni ayam,https://m.ftscrt.com/static/recipe/cda3adda-d61a-4ebd-a789-dbef91527d25.jpg,147,""18,83"",8.92,15000,Normal,Normal",,,,,,,,0
"Tahu Telur,https://m.ftscrt.com/static/recipe/36b1655d-cc44-4127-9ff1-b056694316f8.jpg,256,""4,5"",25.75,15000,Normal,Keto",,,,,,,,0
"Nasi Goreng,https://m.ftscrt.com/static/recipe/5cd27966-6e93-4ebe-a947-e6fee9ccca74.jpg,206,""31,29"",4.09,14000,Normal,Normal",,,,,,,,0
"Nasi Goreng Spesial (Nasi Merah),https://m.ftscrt.com/static/recipe/523b5e66-47cc-4d25-9d68-2ea36e9e8905.jpg,509,""6,4"",42.35,34000,Premium,Normal",,,,,,,,0
"Ampyang,https://m.ftscrt.com/static/recipe/dba35161-8174-48bc-92bd-8a0ac29e7e9a.jpg,170,""1,4"",22.24,19000,Normal,Keto",,,,,,,,0
"Omlate Bayam,https://m.ftscrt.com/static/recipe/88c11434-9abb-43a5-b451-c0bfc429770e.jpg,179,""6,31"",8,13000,Normal,Vegetarian",,,,,,,,0
"Sup Telur,https://m.ftscrt.com/static/recipe/1cf89613-1054-4330-b60e-3a62985ecafc.jpg,204,""2,6"",11.9,13000,Normal,Keto",,,,,,,,0
"Seblak Mie Shirataki,https://m.ftscrt.com/static/recipe/083a8e80-4c4a-4ae3-9e80-6b98cbbfe311.jpg,114,""11,65"",7.13,11000,Normal,Normal",,,,,,,,0
"Kangkung Tumis,https://m.ftscrt.com/static/recipe/412f55e6-de55-4504-b6fe-03a7bf1a7aef.jpg,450,""9,1"",35.27,22000,Mahal,Normal",,,,,,,,0
"Steam Fish,https://m.ftscrt.com/static/recipe/193b92d4-5b96-4ba1-b64e-7a99bfdb700b.jpg,310,""2,7"",21.32,28000,Mahal,Keto",,,,,,,,0
"Sayur Bayam Bening,https://m.ftscrt.com/static/recipe/afb0694b-6fc8-4325-9ab7-9fe254bc0b36.jpg,55,""4,8"",9.35,8000,Murah,Keto",,,,,,,,0
"Tumis Tempe Sayur,https://m.ftscrt.com/static/recipe/c62978ad-fdd4-4ffb-b3c0-82732599d9d4.jpg,180,""24,44"",11.96,17000,Normal,Vegetarian",,,,,,,,0
Oat Pisang,https://m.ftscrt.com/static/recipe/2c22fed6-9d01-4a23-8ec2-69524b996291.jpg,162.0,3.0,32.95,17000.0,Normal,Keto,2
"Brownies Oat,https://m.ftscrt.com/static/recipe/1873a361-9cc2-4a58-9b72-94dc14ad402a.jpg,158,""18,53"",2.16,14000,Normal,Normal",,,,,,,,0
"Muffins Pisang,https://m.ftscrt.com/static/recipe/df691189-1f14-4951-8438-d499a858afac.jpg,113,""19,5"",7.86,10000,Normal,Normal",,,,,,,,0
"Kue Chiffon,https://m.ftscrt.com/static/recipe/b05f9837-76de-4381-870b-aec03a429d31.jpg,181,""0,2"",17.28,13000,Normal,Keto",,,,,,,,0
"Protein Bar Kacang Tanah,https://m.ftscrt.com/static/recipe/b6642417-1d25-42ed-9a27-fdf33b2b9812.jpg,72,""8,99"",2.2,5000,Murah,Normal",,,,,,,,0
Klepon Ubi,https://m.ftscrt.com/static/recipe/c86c96cd-71b9-4a9b-aaf7-92d88cfee2f3.jpg,125.0,2.0,30.07,17000.0,Normal,Keto,2
"Banana Oatmeal Pancake,https://m.ftscrt.com/static/recipe/dbbc47a7-dd6d-4c2f-b4eb-b7a7644b7e53.jpg,120,""18,8"",3.22,10000,Normal,Normal",,,,,,,,0
"Pancake Oat,https://m.ftscrt.com/static/recipe/a1abfe56-0808-427f-8d7d-cd9076f52dec.jpg,203,""28,83"",14.69,15000,Normal,Normal",,,,,,,,0
"Tumis Brokoli Udang,https://m.ftscrt.com/static/recipe/f0659101-386f-4cea-9bd4-94ba416a4ec7.jpg,329,""4,8"",14.31,26000,Mahal,Keto",,,,,,,,0
"Tumis Oatmeal Dengan Sayur,https://m.ftscrt.com/static/recipe/885bc0b8-43e2-4fb5-a3df-80f288546edb.jpg,273,""59,94"",7.1,13000,Normal,Vegetarian",,,,,,,,0
"Sup Labu Energi,https://m.ftscrt.com/static/recipe/bdd562de-360f-4958-ac06-efa8f74b18a1.jpg,249,""2,8"",52.28,10000,Normal,Keto",,,,,,,,0
"Tumis Kacang Panjang,https://m.ftscrt.com/static/recipe/a5e8e691-c6b8-4203-939f-31e271e11f8a.jpg,280,""2,4"",8.47,12000,Normal,Keto",,,,,,,,0
"Sup Pembakar Lemak,https://m.ftscrt.com/static/recipe/a5f44f92-c03d-41e4-8283-1543f3a565c9.jpg,48,""3,1"",9.66,9000,Murah,Keto",,,,,,,,0
Abon,https://img-cdn.medkomtek.com/PbrY9X3ignQ8sVuj_LU9UXljyew=/0x0/smart/filters:quality(75):strip_icc():format(webp)/article/7g8ceHGDNMuttlBcXEl8d/original/099726800_1605161502-Mana-yang-Lebih-Sehat-Abon-Sapi-atau-Abon-Ayam-shutterstock_1361446550.jpg,280.0,0.0,9.2,15000.0,Normal,Keto,2
Abon haruwan,https://img-global.cpcdn.com/recipes/cbf330fbd1ba6316/1200x630cq70/photo.jpg,513.0,21.3,23.7,34000.0,Premium,Normal,1
Agar-agar,https://res.cloudinary.com/dk0z4ums3/image/upload/v1644389489/attached_image/manfaat-agar-agar-untuk-tubuh.jpg,0.0,0.0,0.0,5000.0,Murah,Keto,0
Akar tonjong segar,https://images.tokopedia.net/img/cache/200-square/product-1/2018/8/11/3052608/3052608_12e6762a-1a95-450b-8a7c-347a26dc3201_450_450.jpg,45.0,10.8,1.1,5000.0,Murah,Normal,0
Aletoge segar,https://nilaigizi.com/assets/images/produk/produk_1577340236.jpg,37.0,3.8,4.4,6000.0,Murah,Keto,0
Alpukat segar,https://katakabar.com/assets/images/upload/news/medium_news_1594438184.jpeg,85.0,7.7,0.9,10000.0,Normal,Normal,0
Ampas tahu kukus,https://cdns.diadona.id/diadona.id/resized/640x320/news/2020/02/26/5346/manfaat-ampas-tahu-yang-nggak-boleh-disepelekan-orang-jepang-aja-doyan-masa-kamu-ogah-ogahan-200226f.jpg,75.0,10.7,4.1,7000.0,Murah,Normal,0
Anyang sayur,https://static.republika.co.id/uploads/images/inpicture_slide/anyang-_180520222511-425.jpg,126.0,10.3,3.4,17000.0,Normal,Vegetarian,2
Apel,https://asset.kompas.com/crops/smfd25xgXRE3HpMLb2aamPeulYM=/21x0:1476x970/1200x800/data/photo/2022/08/30/630d7ae5d041f.jpg,58.0,14.9,0.3,8000.0,Murah,Normal,0
Arbei,https://asset.kompas.com/crops/NoCuCvNGfQG6_Ct04e7Vjcabjv4=/204x0:885x454/1200x800/data/photo/2020/06/25/5ef44bb002503.jpg,37.0,8.3,0.8,8000.0,Murah,Normal,0
Ares sayur,https://asset-a.grid.id/crop/0x0:0x0/x/photo/2018/07/10/1764115767.jpg,113.0,11.2,0.9,20000.0,Normal,Vegetarian,2
Arrowroot segar,https://1.bp.blogspot.com/-frPXLhHsX1o/YGH-vVXAdtI/AAAAAAAAAQc/rFFQBIqzF-sEPYUiGLOUyb-KetyM7haWACLcBGAsYHQ/s2048/IMG20210227100704.jpg,102.0,24.1,1.0,12000.0,Normal,Normal,2
Asam kandis segar,https://assets.ladiestory.id/gallery/16768092331084058551-asam-kandis.jpg,75.0,16.1,0.2,10000.0,Normal,Normal,0
Asam payak segar,https://nilaigizi.com/assets/images/produk/produk_1537342320.jpg,135.0,32.1,0.8,15000.0,Normal,Normal,2
Asinan Bogor sayuran,https://www.piknikdong.com/wp-content/uploads/2021/04/Resep-Asinan-Sayur-Bogor-Sederhana.jpg,98.0,14.8,3.9,6000.0,Murah,Vegetarian,0
Ayam  goreng Kentuckysayap,https://img-global.cpcdn.com/recipes/2ecb088a495ef73a/680x482cq70/ayam-goreng-kentucky-foto-resep-utama.jpg,297.0,1.6,35.9,10000.0,Normal,Keto,2
Ayam ampela goreng,https://cdn1-production-images-kly.akamaized.net/MldE3BInsLHr9JgPKFlsYtmbV-E=/0x344:5472x3428/469x260/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/3142898/original/027275800_1591175314-shutterstock_188934800.jpg,270.0,9.9,32.3,17000.0,Normal,Normal,2
Ayam goreng church texa sayap,https://e7.pngegg.com/pngimages/66/902/png-clipart-church-s-chicken-bakery-chicken-nugget-fried-chicken-texas-chicken-church-s-chicken-bakery-thumbnail.png,295.0,1.5,34.0,10000.0,Normal,Keto,2
Ayam goreng church texas dada,https://i0.wp.com/harga.web.id/wp-content/uploads/Harga-Texas-Chicken-Reguler-dan-Promo.jpg?fit=680%2C300&ssl=1,338.0,0.4,35.2,36000.0,Premium,Keto,1
Ayam goreng kalasan paha,https://thumb.viva.id/intipseleb/1265x711/2022/10/21/6352aa183c0c1-resep-ayam-goreng-kalasan.jpg,275.0,1.3,37.4,19000.0,Normal,Keto,1
Ayam goreng kentucky dada,https://awsimages.detik.net.id/community/media/visual/2021/07/07/kirim-pesan-unik-kfc-2_43.jpeg?w=1200,298.0,0.1,34.2,17000.0,Normal,Keto,1
Ayam goreng Kentucky paha,https://img-global.cpcdn.com/recipes/d61db7c7021bcd27/680x482cq70/paha-kentucky-yummy-foto-resep-utama.jpg,286.0,1.1,32.1,16000.0,Normal,Keto,2
Ayam goreng pioneer dada,https://d1sag4ddilekf6.cloudfront.net/compressed_webp/items/IDITE20210726121341017693/detail/menueditor_item_428cb0ea19e44146a00e1cfbef85faae_1627524568218570621.webp,295.0,0.6,37.4,19000.0,Normal,Keto,1
Ayam goreng sukabumi dada,https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/d5baa5ea-bad6-4cc6-b6fe-a0c4a9a86979_Go-Biz_20211222_160332.jpeg,244.0,1.0,36.7,11000.0,Normal,Keto,2
Ayam goreng sukabumi paha,https://i0.wp.com/i.gojekapi.com/darkroom/gofood-indonesia/v2/images/uploads/60ef5b81-53d7-4375-a9a3-b7eb2aed3b2a_master-menu-item-image_1597233742745.jpg?resize=728%2C500,283.0,0.5,35.7,17000.0,Normal,Keto,1
Ayam taliwang masakan,https://asset.kompas.com/crops/-oAqlkfrKHaqebhytdtKz-JV6ls=/4x0:1000x664/750x500/data/photo/2020/12/22/5fe16c7655542.jpg,264.0,2.7,18.2,16000.0,Normal,Keto,2
Ayam usus goreng,https://img-global.cpcdn.com/recipes/fa7c9443ce9efcb5/1200x630cq70/photo.jpg,473.0,13.9,45.2,26000.0,Mahal,Normal,1
Babat,https://awsimages.detik.net.id/community/media/visual/2022/05/26/resep-bacem-babat-sapi.jpeg?w=1200,113.0,0.0,17.6,14000.0,Normal,Keto,2
Bacang,https://cdn1-production-images-kly.akamaized.net/dmeIqjoEQPYVHvwOwc32D8B7EcI=/1200x675/smart/filters:quality(75):strip_icc():format(webp)/kly-media-production/medias/1495067/original/082497700_1486023784-bacang-fsui_wodpress.jpg,102.9,16.3,3.3,11000.0,Normal,Normal,2
Bagea kelapa asin,https://resepkoki.id/wp-content/uploads/2018/02/Resep-Kue-Bagea.jpg,450.0,78.1,3.2,31000.0,Premium,Normal,1
Bagea kelapa manis,https://s3.theasianparent.com/tap-assets-prod/wp-content/uploads/sites/24/2022/03/kue-bagea-featured-650x339.jpg,452.0,80.6,1.3,31000.0,Premium,Normal,1
Bagea kenari asin,https://images.tokopedia.net/img/cache/700/hDjmkQ/2021/10/4/73219f10-0149-4af7-b1ca-c51d90ca767b.jpg,529.0,63.6,3.2,20000.0,Normal,Normal,1
Bagea kenari manis,https://indonesiakaya.com/wp-content/uploads/2020/10/1__IMG_0796_CROP_Renyah_gurih_dan_manis_begitulah_kira-kira_gambaran_saat_mencicipi_kue_bagea_khas_Sulawesi_Utara.jpg,523.0,64.2,3.2,40000.0,Premium,Normal,1
Baje,https://cf.shopee.co.id/file/91afb76cc87856ee341c0ee5970d66a9,129.0,15.6,1.9,19000.0,Normal,Normal,2
Bakpia kue,https://asset.kompas.com/crops/BZ6Z25Y0XcjtoHBInh10nGsMM2Q=/3x0:700x465/750x500/data/photo/2021/03/17/60514d8851d3e.jpeg,272.0,44.1,8.7,13000.0,Normal,Normal,2
Bakso ,https://asset.kompas.com/crops/x6OULHa8pMi47UnvDTzf1j62ov4=/3x0:700x465/750x500/data/photo/2022/08/25/6306b48bb80a1.jpeg,76.0,9.2,4.1,5000.0,Murah,Normal,0
Bakwan,https://i0.wp.com/resepkoki.id/wp-content/uploads/2019/04/Resep-Bakwan-Jagung-1.jpg?fit=1749%2C1920&ssl=1,280.0,39.0,8.2,16000.0,Normal,Normal,2
Batatas kelapa ubi bakar,https://img-global.cpcdn.com/recipes/95d754afdf8eb1f2/1200x630cq70/photo.jpg,110.0,23.4,1.4,12000.0,Normal,Normal,2
Batatas kelapa ubi kukus,https://img-global.cpcdn.com/recipes/9f91679fd1ba49f0/680x482cq70/singkong-kukus-toping-kelapa-parut-foto-resep-utama.jpg,92.0,21.0,1.2,7000.0,Murah,Normal,0
Batatas tali ubi rebus,https://img-global.cpcdn.com/recipes/f9664da25cda52e4/1200x630cq70/photo.jpg,182.0,42.2,2.4,12000.0,Normal,Normal,2
Bawang Bombay,https://res.cloudinary.com/dk0z4ums3/image/upload/v1621837004/attached_image/berbagai-nutrisi-di-balik-manfaat-bombay.jpg,45.0,10.3,1.4,7000.0,Murah,Normal,0
Bawang Merah,https://cdn.shopify.com/s/files/1/0369/8321/0116/products/015_640x.jpg?v=1646380408,39.0,0.2,1.5,7000.0,Murah,Keto,0
Bawang Putih,https://www.astronauts.id/blog/wp-content/uploads/2022/11/Manfaat-Bawang-Putih-Untuk-Kulit-yang-Tidak-Banyak-Tahu.jpg,95.0,23.1,4.5,9000.0,Murah,Normal,2
Bayam kukus,https://img-global.cpcdn.com/recipes/ff942e133f5dc64e/680x482cq70/bayam-kukus-foto-resep-utama.jpg,30.0,5.8,1.3,8000.0,Murah,Vegetarian,0
Bayam Merah,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/10/15060945/manfaat-bayam-merah-yang-jarang-diketahui-halodoc.jpg,51.0,10.0,4.6,8000.0,Murah,Vegetarian,0
Bayam rebus,https://img-global.cpcdn.com/recipes/5be8dc1e0002f811/1200x630cq70/photo.jpg,23.0,3.7,1.2,8000.0,Murah,Keto,0
"Bayam tumis + oncom,""https://blue.kumparan.com/image/upload/fl_progressive,fl_lossy,c_fill,q_auto:best,w_640/v1601173915/chhxzj6dnkwkryigiyrl.jpg"",102,6.9,3.7,12000,Normal,Vegetarian",,,,,,,,0
Bayam tumis bersantan,https://img.kurio.network/FnRZ04iY18q6h7oJzzZDFZOD5Zk=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/04/07/2ab69e8a-370d-460a-89ac-0efadafee196.jpe,48.0,2.6,1.4,10000.0,Normal,Keto,0
Bebek alabio daging segar,https://medioenblog.files.wordpress.com/2018/02/bebek.jpg,303.0,3.7,11.3,20000.0,Normal,Keto,2
Bebek daging goreng,https://asset.kompas.com/crops/y8jlET9Zwl-5iykdc5t58sS-_KY=/0x52:1000x719/750x500/data/photo/2020/07/14/5f0d253a6edd5.jpg,300.0,4.5,24.0,19000.0,Normal,Keto,2
Beef burger,https://cdn.id9.site/burgerax/media/2020/09/beef-burger-e1644156606108.jpeg,258.0,32.5,10.6,18000.0,Normal,Normal,2
Beef teriyaki masakan,https://www.masakapahariini.com/wp-content/uploads/2020/12/resep-beef-teriyaki-2-500x300.jpg,151.0,22.3,8.6,20000.0,Normal,Normal,2
Beef yakiniku masakan,https://asset.kompas.com/crops/awoHyKStB8lI_yqs1PTI3VjIHsE=/78x42:958x629/750x500/data/photo/2022/12/08/6391613d09412.jpg,132.0,20.7,9.8,20000.0,Normal,Normal,2
Belibis daging segar,https://assets.tokko.io/2bbdc42e-f0c6-494e-ae09-9d177af2ec61/products/images/cc352d35-2818-45ed-9a63-03f4fbd2247b,131.0,2.8,20.2,16000.0,Normal,Keto,2
Belimbing,https://cdn0-production-images-kly.akamaized.net/vVBJG9Flt0ncPec4-hGyZftu4og=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2778801/original/086460500_1556885614-belimbing.jpg,36.0,8.8,0.4,6000.0,Murah,Normal,0
Belut goreng,https://asset.kompas.com/crops/EIwKgK9ZA21scjpbrA9zMJehUIU=/100x67:900x600/750x500/data/photo/2021/03/23/6059483f259e2.jpeg,417.0,32.0,25.9,21000.0,Mahal,Normal,1
Belut segar,https://cdn0-production-images-kly.akamaized.net/dzEIf_Zb-p6ktRAywNdWHoTH5Wg=/1200x900/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/2760114/original/080217400_1553484954-Cara_budidaya_belut.jpg,70.0,1.0,14.6,6000.0,Murah,Keto,0
Bengkuang,https://jovee.id/wp-content/uploads/2020/11/shutterstock_1830526784.jpg,55.0,12.8,1.4,10000.0,Normal,Normal,0
Bentul talas kukus,https://i.ytimg.com/vi/zJ9Rg_MIGfY/maxresdefault.jpg,71.0,15.4,2.3,9000.0,Murah,Normal,0
Bihun,https://ik.imagekit.io/dcjlghyytp1/2020/03/curry-1609780_1920.jpg?tr=f-auto,360.0,82.1,4.7,38000.0,Premium,Normal,1
Bihun Goreng ,https://img.kurio.network/ZxAfF4qJQbpTcsTwVZ5fxE-8_no=/1200x1200/filters:quality(80)/https://kurio-img.kurioapps.com/21/10/17/f29f0fe9-7b93-498a-a6fe-2e0abc82e509.jpe,154.0,25.5,3.0,16000.0,Normal,Normal,2
Bihun goreng instan,https://img-global.cpcdn.com/recipes/98b4c2fca1b1e699/1200x630cq70/photo.jpg,381.0,80.3,6.1,39000.0,Premium,Normal,1
Bihun Jagung mentah,https://cdn.idntimes.com/content-images/post/20190917/ts3-afd6374f037588e5b1267149563c6ce7.jpg,354.0,87.4,0.5,37000.0,Premium,Normal,1
Biji Jambu Mete goreng,https://jovee.id/wp-content/uploads/2020/09/KACANGMEDE.jpg,629.0,19.8,21.5,26000.0,Mahal,Normal,1
Biji nangka/Biji salak,https://img-global.cpcdn.com/recipes/0df60642ab5496ab/680x482cq70/122-biji-salak-ber-nangka-foto-resep-utama.jpg,262.0,51.1,2.3,13000.0,Normal,Normal,2
Bika Ambon ,https://kurio-img.kurioapps.com/21/08/09/550ddc82-8004-49fe-a427-197fead4eec3.jpe,225.7,52.9,3.0,10000.0,Normal,Normal,2
Biskuit,https://s4.bukalapak.com/bukalapak-kontenz-production/content_attachments/57314/original/main_merek_biskuit_enak_shutterstock.jpg,458.0,75.1,6.9,28000.0,Mahal,Normal,1
Bit,https://static.honestdocs.id/system/blog_articles/main_hero_images/000/002/304/original/14_Manfaat_Buah_Bit_Bagi_Kesehatan_Tubuh.jpg,42.0,9.6,1.6,9000.0,Murah,Normal,0
Biwah segar,https://cdn.idntimes.com/content-images/community/2019/07/big-1358231-960-720-8ba3de334ccaf29bc9502faa35dd8283_600x400.jpg,51.0,12.1,0.3,6000.0,Murah,Normal,0
Buah Mentega (bisbul),https://cdns.klimg.com/merdeka.com/i/w/news/2020/07/07/1195681/content_images/670x335/20200707152852-1-ilsutrasi-buah-mentega-atau-bisbul-002-nurul-diva-kautsar.jpg,39.0,9.7,0.7,6000.0,Murah,Normal,0
Buah Naga Merah segar,https://www.static-src.com/wcsstore/Indraprastha/images/catalog/full//85/MTA-51432240/no-brand_buah-naga-merah-segar-fresh-1-pcs_full01.jpg,71.0,9.1,1.7,7000.0,Murah,Normal,0
Buah Naga Putih segar,https://cf.shopee.co.id/file/957f1f3ed49275a0fe2f2d9ac37524e4,56.0,10.9,0.8,5000.0,Murah,Normal,0
Buah negri segar,https://res.cloudinary.com/dk0z4ums3/image/upload/v1648442001/attached_image/manfaat-buah-markisa-yang-perlu-anda-ketahui.jpg,55.0,12.2,1.2,7000.0,Murah,Normal,0
Buah Nona,https://www.pantau.com/wp-content/uploads/2022/04/191111044328-buah-nona-buah-langka-yang-memiliki-segundang-manfaat-bagi-kesehatan.jpg,101.0,25.2,1.7,14000.0,Normal,Normal,2
Bubur ,https://awsimages.detik.net.id/community/media/visual/2021/12/13/resep-bubur-ayam-cincang_43.jpeg?w=1200,60.0,13.0,1.0,8000.0,Murah,Normal,0
Bubur sagu,https://img-global.cpcdn.com/recipes/541f0543f5b40b2a/680x482cq70/bubur-sagu-foto-resep-utama.jpg,167.0,33.0,0.2,15000.0,Normal,Normal,2
Bubur tinotuan (Manado),https://asset.kompas.com/crops/8IPl4RcIfLh3fkwXhKHPuPHqoz8=/81x22:892x563/750x500/data/photo/2020/05/13/5ebbdec618a37.jpg,156.0,15.6,2.3,20000.0,Normal,Normal,2
Bulgogi masakan,https://asset.kompas.com/crops/MGdiKvcc-R0j5purun8FmiLeX_U=/0x0:0x0/750x500/data/photo/2020/12/23/5fe2c9413a6ce.jpg,72.0,1.4,11.4,8000.0,Murah,Keto,0
Buncis,https://medicillin.com/admin/upload/images/information/584770af1e043.png,35.0,7.7,2.4,5000.0,Murah,Normal,0
Buncis rebus,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/11/15080206/selain-enak-ini-manfaat-buncis-rebus-yang-baik-untuk-kesehatan-halodoc.jpg,30.0,6.4,2.2,10000.0,Normal,Normal,0
Bungkil Kacang Tanah,https://images.tokopedia.net/img/cache/700/VqbcmM/2021/10/20/34e1ca8b-cb9d-46ae-8088-0c9ea431f9f6.jpg,336.0,30.5,37.4,34000.0,Premium,Normal,1
Bungkil Kelapa,https://images.tokopedia.net/img/cache/700/hDjmkQ/2022/1/29/4e91f29e-92d7-4178-a7d2-774f994714e1.jpg,368.0,40.0,23.0,36000.0,Premium,Normal,1
Buntil ,https://asset.kompas.com/crops/vCayyRtg4fGtL3Y9EnpXrWr_TIw=/3x0:700x465/750x500/data/photo/2021/02/08/6020e623372b3.jpg,106.0,7.9,4.4,10000.0,Normal,Normal,0
Buntil daun talas,https://i0.wp.com/borobudurnews.com/wp-content/uploads/2021/05/buntil-daun-talas-khas-Magelang.jpg?fit=979%2C579&ssl=1,141.0,8.0,4.4,19000.0,Normal,Normal,2
Buras ,https://www.masakapahariini.com/wp-content/uploads/2022/06/resep-buras.jpg,125.7,23.9,3.3,14000.0,Normal,Normal,2
Caisin segar,https://images.tokopedia.net/img/cache/700/product-1/2020/4/5/5400804/5400804_d23967b7-039f-4904-97d8-6a303aae6628_1051_1051.jpg,20.0,3.4,1.7,7000.0,Murah,Keto,0
Cakalang asap,https://indonesiakaya.com/wp-content/uploads/2020/10/Ikan_Asar_yang_sudah_matang_dan_siap_untuk_disajikan_atau_diolah_lagi_.jpg,155.0,10.2,20.1,19000.0,Normal,Normal,2
Cake tape,https://resepkoki.id/wp-content/uploads/2016/12/Resep-Bolu-Tape.jpg,323.0,50.1,4.9,23000.0,Mahal,Normal,2
Cap cai sayur,https://awsimages.detik.net.id/community/media/visual/2021/12/25/resep-capcay-kuah-kental.jpeg?w=1200,97.0,4.2,5.8,8000.0,Murah,Keto,0
Cempedak,https://images.genpi.co/uploads/kalbar/arsip/normal/2022/07/15/buah-cempedak-foto-istockphotocom-n3j5.jpg,116.0,28.6,3.0,11000.0,Normal,Normal,2
Chicken teriyaki masakan,https://img-global.cpcdn.com/recipes/ff7dc38da72458fa/680x482cq70/ayam-teriyaki-ala-hokben-foto-resep-utama.jpg,168.0,7.5,13.0,20000.0,Normal,Normal,2
Chikiniku masakan,https://drive.google.com/file/d/1LZOGoU3M3XcPbU5_HaAZ26ybCTbiTXpT/view?usp=sharing,143.0,22.8,9.8,15000.0,Normal,Normal,2
Combro ,https://assets.suaramerdeka.com/crop/7x38:699x495/750x500/webp/photo/2021/11/01/2899515089.jpg,210.0,35.8,1.6,19000.0,Normal,Normal,2
Corned Beef,https://www.jessicagavin.com/wp-content/uploads/2023/03/corned-beef-hash-15-1200.jpg,241.0,0.0,16.0,17000.0,Normal,Keto,2
Cumi-cumi goreng,https://i0.wp.com/resepmasakandapurarie.com/wp-content/uploads/2014/09/Resep-Cumi-Goreng-Tepung-Crispy-.jpg,265.0,0.0,40.6,19000.0,Normal,Keto,1
Daging Asap,https://asset.kompas.com/crops/hysnw0J-U1aA8CzBNW5j_uEC3s8=/0x476:1080x1196/750x500/data/photo/2022/03/22/6239bc36b14f4.jpg,191.0,0.0,32.0,16000.0,Normal,Keto,2
Daun Bawang,https://asset.kompas.com/crops/u8jpueVME4sJk32KP-0Rnjg9o1I=/479x0:1500x681/750x500/data/photo/2022/05/07/6275586c1ce7d.jpg,29.0,5.2,1.8,9000.0,Murah,Normal,0
Daun Kacang Panjang kukus,https://img-global.cpcdn.com/recipes/4ec6b371c573cabe/680x482cq70/sayur-bobor-lembayung-daun-kacang-panjang-foto-resep-utama.jpg,40.0,8.0,3.7,6000.0,Murah,Normal,0
Daun katuk rebus,https://img-global.cpcdn.com/recipes/68161cf2088797fc/680x482cq70/rebus-daun-katuk-foto-resep-utama.jpg,53.0,9.1,5.3,9000.0,Murah,Normal,0
Daun Kelor rebus,https://img-global.cpcdn.com/recipes/ed600b784cb28839/680x482cq70/daun-kelor-rebus-foto-resep-utama.jpg,61.0,10.0,6.1,8000.0,Murah,Normal,0
Daun Kemangi,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2021/11/01025747/ini-4-manfaat-daun-kemangi-yang-jarang-diketahui-halodoc.jpg,46.0,8.9,4.0,7000.0,Murah,Normal,0
Daun kol sawi segar,https://asset.kompas.com/crops/MsuwGORqaxVW-qpj97DoEK4RTLs=/293x0:1145x568/780x390/data/photo/2021/09/27/61517629bbd33.jpg,22.0,3.6,2.1,5000.0,Murah,Keto,0
Daun kubis segar,https://nilaigizi.com/assets/images/produk/produk_1599051215.jpg,51.0,8.0,2.5,7000.0,Murah,Normal,0
Daun Labu Siam,https://aksikata.com/wp-content/uploads/2019/05/daun-labu-siam.jpg,60.0,4.7,4.0,9000.0,Murah,Keto,0
Daun Labu Waluh,https://www.parenting.co.id/img/images/B1.jpg,30.0,4.5,3.6,7000.0,Murah,Keto,0
Daun Melinjo,https://goleksayur.com/data/images/product/IMG10160.jpg,99.0,21.3,5.0,5000.0,Murah,Normal,0
Daun Pakis,https://d1vbn70lmn1nqe.cloudfront.net/prod/wp-content/uploads/2022/11/11085513/Jarang-Diketahui-Ini-X-Manfaat-Sayur-Pakis-bagi-Kesehatan.jpg,35.0,6.4,4.0,8000.0,Murah,Normal,0
Daun Singkong,https://s3-publishing-cmn-svc-prd.s3.ap-southeast-1.amazonaws.com/article/k6oXuilGJwEixYI9s0ubT/original/043951600_1631871725-Berbagai_Manfaat_Daun_Singkong_untuk_Kesehatan_Anda.jpg,73.0,13.0,6.8,5000.0,Murah,Normal,0
Daun Singkong lodeh,https://asset.kompas.com/crops/mxv9DRtBdiPbq6Lb9lPvPEn4Mtk=/0x0:1000x667/750x500/data/photo/2020/10/21/5f8f3ec62aee7.jpg,55.0,8.5,4.0,9000.0,Murah,Normal,0
